time,prices,market_cap,total_volumes
2021-12-19,25.56,27260000560.942574,750325433.6941878
2021-12-20,24.8,26529707389.43836,618517652.2460241
2021-12-21,24.24,25931679868.20374,789581277.3226116
2021-12-22,25.27,27078881471.485497,752694540.9301143
2021-12-23,27.29,29167743983.92905,1160469145.6087036
2021-12-24,29.24,31173032224.78567,1315971444.8437622
2021-12-25,28.16,30096279470.711548,876002452.4345791
2021-12-26,28.95,31022208369.717255,562403880.4516754
2021-12-27,31.42,33550554796.09437,1385818214.8027556
2021-12-28,31.05,33302241419.428368,1440198029.352226
2021-12-29,28.03,30133454586.661674,2004953651.9929783
2021-12-30,26.75,28482916518.775734,1417025633.0025005
2021-12-31,27.54,29412068041.195526,1056266379.5992932
2022-01-01,26.74,28732998502.746273,1029198943.9670718
2022-01-02,28.64,30517681838.453594,650806340.6952845
2022-01-03,29.77,31944115354.77421,1076715455.9372327
